id,key,status,superseded_by,country,code,series,designation,alt_designation,h,b,tw,tf,r1,r2,flange_slope,mass,availability
0x2FF89AC14C,ASTM-A6:HP12X53,active,,USA,ASTM A6 / AISC,HP,HP12X53,HP310X79,299,306,11.0,11.0,12,0,0,78.8,current
0x89D1EFC5AA,ASTM-A6:HP14X89,active,,USA,ASTM A6 / AISC,HP,HP14X89,HP360X132,351,373,17.5,17.5,15,0,0,132,current
0x3AD82168F5,ASTM-A6:M10X9,active,,USA,ASTM A6 / AISC,M,M10X9,M250X13.4,254,68,4.0,5.3,6,0,0,13.4,current
0x9DAB64F166,ASTM-A6:M12X11.8,active,,USA,ASTM A6 / AISC,M,M12X11.8,M310X17.6,305,102,4.5,5.7,6,0,0,17.6,current
0x232424019A,ASTM-A6:S10X25.4,active,,USA,ASTM A6 / AISC,S,S10X25.4,S250X37.8,254,118,7.9,12.5,10,5,16.67,37.8,current
0xC145816396,ASTM-A6:S12X31.8,active,,USA,ASTM A6 / AISC,S,S12X31.8,S310X47.3,305,133,9.1,13.8,11,5.5,16.67,47.3,current
0x3B2F551E68,ASTM-A6:S15X42.9,active,,USA,ASTM A6 / AISC,S,S15X42.9,S380X64,381,140,10.4,15.8,12,6,16.67,63.8,current
0xC12A3B7D56,ASTM-A6:S20X66,active,,USA,ASTM A6 / AISC,S,S20X66,S510X98.2,508,165,13.2,20.0,14,7,16.67,98.2,current
0xB0CAC6950B,ASTM-A6:S24X80,active,,USA,ASTM A6 / AISC,S,S24X80,S610X119,610,178,12.7,22.1,15,7.5,16.67,119,current
0xEB34C35CCB,ASTM-A6:S6X12.5,active,,USA,ASTM A6 / AISC,S,S6X12.5,S150X18.6,152,84,5.9,9.1,8,4,16.67,18.6,current
0xD8FACA1694,ASTM-A6:W10X49,active,,USA,ASTM A6 / AISC,W,W10X49,W250X72.9,253,254,8.6,14.2,12,0,0,72.9,current
0x11F4EA14F6,ASTM-A6:W12X26,active,,USA,ASTM A6 / AISC,W,W12X26,W310X38.7,310,165,5.8,9.7,10,0,0,38.7,current
0xE43B35FD13,ASTM-A6:W12X65,active,,USA,ASTM A6 / AISC,W,W12X65,W310X96.7,308,305,9.9,15.4,12,0,0,96.7,current
0x0ED2AA88F7,ASTM-A6:W14X90,active,,USA,ASTM A6 / AISC,W,W14X90,W360X134,356,369,11.2,18.0,15,0,0,134,current
0xDB7CF471DE,ASTM-A6:W16X40,active,,USA,ASTM A6 / AISC,W,W16X40,W410X59.5,407,178,7.7,12.8,10,0,0,59.5,current
0xF191CC632E,ASTM-A6:W18X50,active,,USA,ASTM A6 / AISC,W,W18X50,W460X74,457,190,9.0,14.5,10,0,0,74.4,current
0x756B7251B6,ASTM-A6:W21X62,active,,USA,ASTM A6 / AISC,W,W21X62,W530X92,533,209,10.2,15.6,13,0,0,92.3,current
0xD23D403D51,ASTM-A6:W24X84,active,,USA,ASTM A6 / AISC,W,W24X84,W610X125,612,229,11.9,19.6,13,0,0,125,current
0x6181684DB0,ASTM-A6:W27X94,active,,USA,ASTM A6 / AISC,W,W27X94,W690X140,684,254,12.4,18.9,15,0,0,140,current
0xC79A9E2388,ASTM-A6:W30X116,active,,USA,ASTM A6 / AISC,W,W30X116,W760X173,762,267,14.4,21.6,15,0,0,173,current
0x57C9C18C96,ASTM-A6:W33X130,active,,USA,ASTM A6 / AISC,W,W33X130,W840X193,840,292,14.7,21.7,15,0,0,193,current
0xD46BB73A0A,ASTM-A6:W36X150,active,,USA,ASTM A6 / AISC,W,W36X150,W920X223,911,304,15.9,23.9,15,0,0,223,current
0xA1A738448D,ASTM-A6:W40X199,active,,USA,ASTM A6 / AISC,W,W40X199,W1000X296,982,300,16.5,26.0,15,0,0,296,current
0xFA0FE53E9C,ASTM-A6:W44X230,active,,USA,ASTM A6 / AISC,W,W44X230,W1100X343,1090,401,18.0,31.0,15,0,0,343,current
0xEBE31387F1,ASTM-A6:W8X31,active,,USA,ASTM A6 / AISC,W,W8X31,W200X46.1,203,203,7.2,11.0,10,0,0,46.1,current
0x295696BAB7,BS4:J 127x114x27,active,,UK,BS 4-1:2005,J,J 127x114x27,,127,114,10.2,11.5,9.9,4.8,8,26.8,legacy
0x4AC19AD3D9,BS4:J 203x152x52,active,,UK,BS 4-1:2005,J,J 203x152x52,,203.2,152.4,8.9,16.5,15.5,7.6,8,52.3,legacy
0x1FC5E26BA1,BS4:UB 127x76x13,active,,UK,BS 4-1:2005,UB,UB 127x76x13,,127,76,4.0,7.6,7.6,0,0,13,current
0x8BD0ABA980,BS4:UB 203x133x25,active,,UK,BS 4-1:2005,UB,UB 203x133x25,,203.2,133.2,5.7,7.8,7.6,0,0,25.1,current
0xFC87CD85B5,BS4:UB 254x146x31,active,,UK,BS 4-1:2005,UB,UB 254x146x31,,251.4,146.1,6.0,8.6,7.6,0,0,31.1,current
0x0E5067B6F1,BS4:UB 305x165x40,active,,UK,BS 4-1:2005,UB,UB 305x165x40,,303.4,165.0,6.0,10.2,8.9,0,0,40.3,current
0x76B960BE74,BS4:UB 356x171x51,active,,UK,BS 4-1:2005,UB,UB 356x171x51,,355.0,171.5,7.4,11.5,10.2,0,0,51.0,current
0x77D293D776,BS4:UB 406x178x60,active,,UK,BS 4-1:2005,UB,UB 406x178x60,,406.4,177.9,7.9,12.8,10.2,0,0,60.1,current
0x60FA82EF7D,BS4:UB 457x191x82,active,,UK,BS 4-1:2005,UB,UB 457x191x82,,460.0,191.3,9.9,16.0,10.2,0,0,82.0,current
0x0C8E451805,BS4:UB 533x210x92,active,,UK,BS 4-1:2005,UB,UB 533x210x92,,533.1,209.3,10.1,15.6,12.7,0,0,92.1,current
0x139563BA1F,BS4:UB 610x229x125,active,,UK,BS 4-1:2005,UB,UB 610x229x125,,612.2,229.0,11.9,19.6,12.7,0,0,125.1,current
0x91E91AA2C6,BS4:UB 686x254x140,active,,UK,BS 4-1:2005,UB,UB 686x254x140,,683.5,253.7,12.4,19.0,15.2,0,0,140.1,current
0xFDE5739B39,BS4:UB 762x267x173,active,,UK,BS 4-1:2005,UB,UB 762x267x173,,762.2,266.7,14.3,21.6,16.5,0,0,173,current
0x584DCE9F7E,BS4:UB 838x292x194,active,,UK,BS 4-1:2005,UB,UB 838x292x194,,840.7,292.4,14.7,21.7,17.8,0,0,194,current
0x53899E4EA9,BS4:UB 914x305x224,active,,UK,BS 4-1:2005,UB,UB 914x305x224,,910.4,304.1,15.9,23.9,19.1,0,0,224.2,current
0xD791EF481D,BS4:UBP 203x203x45,active,,UK,BS 4-1:2005,UBP,UBP 203x203x45,,200.2,205.9,9.5,9.5,10.2,0,0,44.9,current
0xEE6A272025,BS4:UBP 305x305x110,active,,UK,BS 4-1:2005,UBP,UBP 305x305x110,,307.9,310.7,15.3,15.4,15.2,0,0,110,current
0xEFB635CA23,BS4:UC 152x152x30,active,,UK,BS 4-1:2005,UC,UC 152x152x30,,157.6,152.9,6.5,9.4,7.6,0,0,30,current
0x4B14C06748,BS4:UC 203x203x60,active,,UK,BS 4-1:2005,UC,UC 203x203x60,,209.6,205.8,9.4,14.2,10.2,0,0,60,current
0xE3A3A55699,BS4:UC 254x254x89,active,,UK,BS 4-1:2005,UC,UC 254x254x89,,260.3,256.3,10.3,17.3,12.7,0,0,88.9,current
0xC7E34A4A4E,BS4:UC 305x305x118,active,,UK,BS 4-1:2005,UC,UC 305x305x118,,314.5,307.4,12.0,18.7,15.2,0,0,117.9,current
0xD7F3AAEFE2,BS4:UC 356x368x153,active,,UK,BS 4-1:2005,UC,UC 356x368x153,,362.0,370.5,12.3,20.7,15.2,0,0,152.9,current
0xC2B1890011,BS4:UC 356x406x235,active,,UK,BS 4-1:2005,UC,UC 356x406x235,,381.0,394.8,18.4,30.2,15.2,0,0,235.1,current
0x862A67613F,CSA:W310X39,active,,Canada,CSA G40.20 / CISC,W,W310X39,W12X26,310,165,5.8,9.7,10,0,0,38.7,current
0xBAABC71765,CSA:W530X92,active,,Canada,CSA G40.20 / CISC,W,W530X92,W21X62,533,209,10.2,15.6,13,0,0,92.3,current
0xDCDB93CCBA,CSA:WWF 350x137,active,,Canada,CSA G40.20 / CISC,WWF,WWF 350x137,,350,350,12.0,20.0,0,0,0,137,current
0xC4E5B11CF7,CSA:WWF 900x293,active,,Canada,CSA G40.20 / CISC,WWF,WWF 900x293,,900,400,16.0,30.0,0,0,0,293,current
0x323FA1669B,EN10365:HD 400x187,active,,Europe,EN 10365,HD,HD 400x187,,368,391,15.0,24.0,15,0,0,187,current
0x3326855989,EN10365:HD 400x990,active,,Europe,EN 10365,HD,HD 400x990,,550,448,71.0,115.0,15,0,0,990,current
0x27A522AC81,EN10365:HE 100 A,active,,Europe,EN 10365,HEA,HE 100 A,,96,100,5.0,8.0,12,0,0,16.7,current
0x6DFB4038B3,EN10365:HE 100 B,active,,Europe,EN 10365,HEB,HE 100 B,,100,100,6.0,10.0,12,0,0,20.4,current
0xA1CBA89E06,EN10365:HE 100 M,active,,Europe,EN 10365,HEM,HE 100 M,,120,106,12.0,20.0,12,0,0,41.8,current
0x792D8C425E,EN10365:HE 140 A,active,,Europe,EN 10365,HEA,HE 140 A,,133,140,5.5,8.5,12,0,0,24.7,current
0x789A52F655,EN10365:HE 140 B,active,,Europe,EN 10365,HEB,HE 140 B,,140,140,7.0,12.0,12,0,0,33.7,current
0x1BC376394A,EN10365:HE 160 A,active,,Europe,EN 10365,HEA,HE 160 A,,152,160,6.0,9.0,15,0,0,30.4,current
0x29FDC5E9CF,EN10365:HE 160 B,active,,Europe,EN 10365,HEB,HE 160 B,,160,160,8.0,13.0,15,0,0,42.6,current
0x9C8936BE3A,EN10365:HE 200 A,active,,Europe,EN 10365,HEA,HE 200 A,,190,200,6.5,10.0,18,0,0,42.3,current
0x90FA883B79,EN10365:HE 200 B,active,,Europe,EN 10365,HEB,HE 200 B,,200,200,9.0,15.0,18,0,0,61.3,current
0xC487D691EF,EN10365:HE 200 M,active,,Europe,EN 10365,HEM,HE 200 M,,220,206,15.0,25.0,18,0,0,103,current
0x1B7032A038,EN10365:HE 240 A,active,,Europe,EN 10365,HEA,HE 240 A,,230,240,7.5,12.0,21,0,0,60.3,current
0x96A1119A9D,EN10365:HE 240 B,active,,Europe,EN 10365,HEB,HE 240 B,,240,240,10.0,17.0,21,0,0,83.2,current
0x96F2323215,EN10365:HE 300 A,active,,Europe,EN 10365,HEA,HE 300 A,,290,300,8.5,14.0,27,0,0,88.3,current
0x137CFFC602,EN10365:HE 300 B,active,,Europe,EN 10365,HEB,HE 300 B,,300,300,11.0,19.0,27,0,0,117,current
0x618A731377,EN10365:HE 300 M,active,,Europe,EN 10365,HEM,HE 300 M,,340,310,21.0,39.0,27,0,0,238,current
0x6FE8B879D1,EN10365:HE 400 A,active,,Europe,EN 10365,HEA,HE 400 A,,390,300,11.0,19.0,27,0,0,125,current
0xF89A7CBCBE,EN10365:HE 400 B,active,,Europe,EN 10365,HEB,HE 400 B,,400,300,13.5,24.0,27,0,0,155,current
0x1E9EF64ECF,EN10365:HE 500 A,active,,Europe,EN 10365,HEA,HE 500 A,,490,300,12.0,23.0,27,0,0,155,current
0x5048E586A2,EN10365:HE 500 B,active,,Europe,EN 10365,HEB,HE 500 B,,500,300,14.5,28.0,27,0,0,187,current
0x0F95A99D17,EN10365:HE 600 A,active,,Europe,EN 10365,HEA,HE 600 A,,590,300,13.0,25.0,27,0,0,178,current
0xE32E9B5A0F,EN10365:HE 600 B,active,,Europe,EN 10365,HEB,HE 600 B,,600,300,15.5,30.0,27,0,0,212,current
0x6F1A292184,EN10365:HE 600 M,active,,Europe,EN 10365,HEM,HE 600 M,,620,305,21.0,40.0,27,0,0,285,current
0xE354E34B79,EN10365:HL 920x342,active,,Europe,EN 10365,HL,HL 920x342,,912,418,19.0,32.0,19,0,0,342,current
0x453AC8CE0E,EN10365:HP 260x87,active,,Europe,EN 10365,HP,HP 260x87,,253,260,14.0,14.0,18,0,0,87,current
0x573889FAE5,EN10365:HP 360x109,active,,Europe,EN 10365,HP,HP 360x109,,346,371,12.8,12.8,18,0,0,109,current
0x8F15E437E9,EN10365:IPE 100,active,,Europe,EN 10365,IPE,IPE 100,,100,55,4.1,5.7,7,0,0,8.1,current
0x33ED40D5FA,EN10365:IPE 120,active,,Europe,EN 10365,IPE,IPE 120,,120,64,4.4,6.3,7,0,0,10.4,current
0x69067562C1,EN10365:IPE 140,active,,Europe,EN 10365,IPE,IPE 140,,140,73,4.7,6.9,7,0,0,12.9,current
0x7C70BAAD77,EN10365:IPE 160,active,,Europe,EN 10365,IPE,IPE 160,,160,82,5.0,7.4,9,0,0,15.8,current
0xF136373DAC,EN10365:IPE 180,active,,Europe,EN 10365,IPE,IPE 180,,180,91,5.3,8.0,9,0,0,18.8,current
0xB4994E1E2A,EN10365:IPE 200,active,,Europe,EN 10365,IPE,IPE 200,,200,100,5.6,8.5,12,0,0,22.4,current
0x7154739933,EN10365:IPE 220,active,,Europe,EN 10365,IPE,IPE 220,,220,110,5.9,9.2,12,0,0,26.2,current
0x8F206230A4,EN10365:IPE 240,active,,Europe,EN 10365,IPE,IPE 240,,240,120,6.2,9.8,15,0,0,30.7,current
0x6C7AB7DF53,EN10365:IPE 270,active,,Europe,EN 10365,IPE,IPE 270,,270,135,6.6,10.2,15,0,0,36.1,current
0x61534023E2,EN10365:IPE 300,active,,Europe,EN 10365,IPE,IPE 300,,300,150,7.1,10.7,15,0,0,42.2,current
0x34512EA474,EN10365:IPE 330,active,,Europe,EN 10365,IPE,IPE 330,,330,160,7.5,11.5,18,0,0,49.1,current
0xDAD40D3210,EN10365:IPE 360,active,,Europe,EN 10365,IPE,IPE 360,,360,170,8.0,12.7,18,0,0,57.1,current
0xDAF1D8DE6C,EN10365:IPE 400,active,,Europe,EN 10365,IPE,IPE 400,,400,180,8.6,13.5,21,0,0,66.3,current
0x1B72AC1B4B,EN10365:IPE 450,active,,Europe,EN 10365,IPE,IPE 450,,450,190,9.4,14.6,21,0,0,77.6,current
0xAC8B0BED1C,EN10365:IPE 500,active,,Europe,EN 10365,IPE,IPE 500,,500,200,10.2,16.0,21,0,0,90.7,current
0xA3997D30D3,EN10365:IPE 550,active,,Europe,EN 10365,IPE,IPE 550,,550,210,11.1,17.2,24,0,0,106,current
0x223248C1C4,EN10365:IPE 600,active,,Europe,EN 10365,IPE,IPE 600,,600,220,12.0,19.0,24,0,0,122,current
0xD905629D34,EN10365:IPE 80,active,,Europe,EN 10365,IPE,IPE 80,,80,46,3.8,5.2,5,0,0,6.0,current
0x240E28C920,EN10365:IPN 100,active,,Europe,EN 10365,IPN,IPN 100,,100,50,4.5,6.8,4.5,2.7,14,8.3,current
0x5F108F6AAE,EN10365:IPN 140,active,,Europe,EN 10365,IPN,IPN 140,,140,66,5.7,8.6,5.7,3.4,14,14.3,current
0xB872DA25BE,EN10365:IPN 200,active,,Europe,EN 10365,IPN,IPN 200,,200,90,7.5,11.3,7.5,4.5,14,26.2,current
0xA05B0DF69D,EN10365:IPN 240,active,,Europe,EN 10365,IPN,IPN 240,,240,106,8.7,13.1,8.7,5.2,14,36.2,current
0xA17E170778,EN10365:IPN 300,active,,Europe,EN 10365,IPN,IPN 300,,300,125,10.8,16.2,10.8,6.5,14,54.2,current
0x6E29141F83,EN10365:IPN 400,active,,Europe,EN 10365,IPN,IPN 400,,400,155,14.4,21.6,14.4,8.6,14,92.4,current
0xFF8E5506A9,EN10365:IPN 500,active,,Europe,EN 10365,IPN,IPN 500,,500,185,18.0,27.0,18,10.8,14,141,current
0xCF97B2CBD9,EN10365:IPN 80,active,,Europe,EN 10365,IPN,IPN 80,,80,42,3.9,5.9,3.9,2.3,14,5.9,current
0xE606A57E70,GBT11263:HM 340x250,active,,China,GB/T 11263-2017,HM,HM 340x250,,340,250,9.0,14.0,13,0,0,79.7,current
0xB205AB4B21,GBT11263:HM 588x300,active,,China,GB/T 11263-2017,HM,HM 588x300,,588,300,12.0,20.0,18,0,0,151,current
0xAD680814C4,GBT11263:HN 400x200,active,,China,GB/T 11263-2017,HN,HN 400x200,,400,200,8.0,13.0,13,0,0,65.4,current
0x1B91DB80CF,GBT11263:HN 700x300,active,,China,GB/T 11263-2017,HN,HN 700x300,,700,300,13.0,24.0,18,0,0,182,current
0xA329FE305A,GBT11263:HW 100x100,active,,China,GB/T 11263-2017,HW,HW 100x100,,100,100,6.0,8.0,8,0,0,17.2,current
0x58B47F7433,GBT11263:HW 200x200,active,,China,GB/T 11263-2017,HW,HW 200x200,,200,200,8.0,12.0,13,0,0,50.5,current
0x3733AA0072,GBT11263:HW 300x300,active,,China,GB/T 11263-2017,HW,HW 300x300,,300,300,10.0,15.0,13,0,0,94.5,current
0xBEAADC9333,GBT11263:HW 400x400,active,,China,GB/T 11263-2017,HW,HW 400x400,,400,400,13.0,21.0,22,0,0,172,current
0x49E9F74EC1,GBT706:I10,active,,China,GB/T 706-2016,I,I10,,100,68,4.5,7.6,6.5,3.3,14,11.3,current
0xFC8E3A3C22,GBT706:I16,active,,China,GB/T 706-2016,I,I16,,160,88,6.0,9.9,8,4,14,20.5,current
0xFF663E02F4,GBT706:I20a,active,,China,GB/T 706-2016,I,I20a,,200,100,7.0,11.4,9,4.5,14,27.9,current
0x45BF9E5C1A,GBT706:I25a,active,,China,GB/T 706-2016,I,I25a,,250,116,8.0,13.0,10,5,14,38.1,current
0x59274F1512,GBT706:I32a,active,,China,GB/T 706-2016,I,I32a,,320,130,9.5,15.0,11.5,5.8,14,52.7,current
0x2D63BF1A7F,GBT706:I40a,active,,China,GB/T 706-2016,I,I40a,,400,142,10.5,16.5,12.5,6.3,14,67.6,current
0xCA42545308,GBT706:I45a,active,,China,GB/T 706-2016,I,I45a,,450,150,11.5,18.0,13.5,6.8,14,80.4,current
0xD981BA40A2,GBT706:I56a,active,,China,GB/T 706-2016,I,I56a,,560,166,12.5,21.0,14.5,7.3,14,106,current
0x9A30798A4D,GBT706:I63c,active,,China,GB/T 706-2016,I,I63c,,630,180,17.0,22.0,15,7.5,14,141,current
0xCDAE0026C4,GOST57837:20B1,active,,Russia,GOST R 57837-2017,B,20B1,,200,100,5.6,8.5,12,0,0,21.3,current
0x1A33E98860,GOST57837:20K1,active,,Russia,GOST R 57837-2017,K,20K1,,195,200,6.5,10.0,18,0,0,41.5,current
0xB04312AFBB,GOST57837:30B1,active,,Russia,GOST R 57837-2017,B,30B1,,296,140,5.8,8.5,15,0,0,32.9,current
0x36D72C58D8,GOST57837:30K1,active,,Russia,GOST R 57837-2017,K,30K1,,296,300,9.0,13.5,27,0,0,87.0,current
0x2E23F68CB9,GOST57837:30Sh1,active,,Russia,GOST R 57837-2017,Sh,30Sh1,,291,200,8.5,11.0,18,0,0,53.6,current
0x182BED96FC,GOST57837:40B1,active,,Russia,GOST R 57837-2017,B,40B1,,392,165,7.5,9.7,18,0,0,48.1,current
0x40E469A077,GOST57837:40K1,active,,Russia,GOST R 57837-2017,K,40K1,,393,400,11.0,16.5,27,0,0,138,current
0x27CA4EF84D,GOST57837:40Sh1,active,,Russia,GOST R 57837-2017,Sh,40Sh1,,383,299,9.5,12.5,21,0,0,96.1,current
0xE390F8163B,GOST57837:50B1,active,,Russia,GOST R 57837-2017,B,50B1,,492,200,8.8,12.2,21,0,0,72.5,current
0x57C0BBC24B,GOST8239:I 10,active,,Russia,GOST 8239-89,I,I 10,,100,55,4.5,7.2,7,2.5,12,9.46,current
0x81A40011A2,GOST8239:I 20,active,,Russia,GOST 8239-89,I,I 20,,200,100,5.2,8.4,9.5,4,12,21.0,current
0x06E8686A2F,GOST8239:I 30,active,,Russia,GOST 8239-89,I,I 30,,300,135,6.5,10.2,12,5,12,36.5,current
0x4CF2A72B00,GOST8239:I 40,active,,Russia,GOST 8239-89,I,I 40,,400,155,8.3,13.0,15,6,12,57.0,current
0xCE734508E9,GOST8239:I 60,active,,Russia,GOST 8239-89,I,I 60,,600,190,12.0,17.8,20,8,12,108,current
0x247489A12E,IS808:ISHB 150,active,,India,IS 808:2021,ISHB,ISHB 150,,150,150,5.4,9.0,8,4,14,27.1,current
0x514A7EB8D5,IS808:ISHB 200,active,,India,IS 808:2021,ISHB,ISHB 200,,200,200,6.1,9.0,9,4.5,14,37.3,current
0xC567CF7E2C,IS808:ISHB 225,active,,India,IS 808:2021,ISHB,ISHB 225,,225,225,6.5,9.1,10,5,14,43.1,current
0x61C0375F94,IS808:ISHB 250,active,,India,IS 808:2021,ISHB,ISHB 250,,250,250,6.9,9.7,10,5,14,51.0,current
0x5B57A814E3,IS808:ISHB 300,active,,India,IS 808:2021,ISHB,ISHB 300,,300,250,7.6,10.6,11,5.5,14,58.8,current
0x5707100B56,IS808:ISHB 350,active,,India,IS 808:2021,ISHB,ISHB 350,,350,250,8.3,11.6,12,6,14,67.4,current
0xEAD80BDE2E,IS808:ISHB 400,active,,India,IS 808:2021,ISHB,ISHB 400,,400,250,9.1,12.7,14,7,14,77.4,current
0x11152D05C7,IS808:ISHB 450,active,,India,IS 808:2021,ISHB,ISHB 450,,450,250,9.8,13.7,15,7.5,14,87.2,current
0x61C23239C4,IS808:ISJB 150,active,,India,IS 808:2021,ISJB,ISJB 150,,150,50,3.0,4.6,5,2.5,14,7.1,current
0xE4F2801E5C,IS808:ISJB 175,active,,India,IS 808:2021,ISJB,ISJB 175,,175,50,3.2,4.8,5,2.5,14,8.1,current
0xE03CF38B60,IS808:ISJB 200,active,,India,IS 808:2021,ISJB,ISJB 200,,200,60,3.4,5.0,6,3,14,9.9,current
0x56B81C9432,IS808:ISJB 225,active,,India,IS 808:2021,ISJB,ISJB 225,,225,80,3.7,5.8,7,3.5,14,12.8,current
0xF787A0AE20,IS808:ISLB 100,active,,India,IS 808:2021,ISLB,ISLB 100,,100,50,4.0,6.4,6.5,3.2,14,8.0,current
0x68C329CA94,IS808:ISLB 125,active,,India,IS 808:2021,ISLB,ISLB 125,,125,75,4.4,6.5,8,4,14,11.9,current
0xA41A8467B9,IS808:ISLB 150,active,,India,IS 808:2021,ISLB,ISLB 150,,150,80,4.8,6.8,9,4.5,14,14.2,current
0xDB12733DE0,IS808:ISLB 175,active,,India,IS 808:2021,ISLB,ISLB 175,,175,90,5.1,6.9,10,5,14,16.7,current
0xADC8361FE7,IS808:ISLB 200,active,,India,IS 808:2021,ISLB,ISLB 200,,200,100,5.4,7.3,9.5,4.7,14,19.8,current
0x6D69AC7930,IS808:ISLB 250,active,,India,IS 808:2021,ISLB,ISLB 250,,250,125,6.1,8.2,11,5.5,14,27.9,current
0xA0F1012AE2,IS808:ISLB 300,active,,India,IS 808:2021,ISLB,ISLB 300,,300,150,6.7,9.4,15,7.5,14,37.7,current
0xFB0F46FE96,IS808:ISLB 350,active,,India,IS 808:2021,ISLB,ISLB 350,,350,165,7.4,11.4,16,8,14,49.5,current
0xC5E681CF25,IS808:ISLB 400,active,,India,IS 808:2021,ISLB,ISLB 400,,400,165,8.0,12.5,16,8,14,56.9,current
0x1040F01A31,IS808:ISLB 450,active,,India,IS 808:2021,ISLB,ISLB 450,,450,170,8.6,13.4,16,8,14,65.3,current
0x52CB1B5EFB,IS808:ISLB 500,active,,India,IS 808:2021,ISLB,ISLB 500,,500,180,9.2,14.1,17,8.5,14,75.0,current
0xA453B98E88,IS808:ISLB 600,active,,India,IS 808:2021,ISLB,ISLB 600,,600,210,10.5,15.5,20,10,14,99.5,current
0x30D7C1D03E,IS808:ISMB 100,active,,India,IS 808:2021,ISMB,ISMB 100,,100,75,4.0,7.2,9,4.5,14,11.5,current
0x31E405294E,IS808:ISMB 125,active,,India,IS 808:2021,ISMB,ISMB 125,,125,75,4.4,7.6,9,4.5,14,13.0,current
0x7966C6AE5B,IS808:ISMB 150,active,,India,IS 808:2021,ISMB,ISMB 150,,150,80,4.8,7.6,9,4.5,14,14.9,current
0xC1E625DEC2,IS808:ISMB 175,active,,India,IS 808:2021,ISMB,ISMB 175,,175,85,5.5,8.6,10,5,14,19.3,current
0xA18D8F6B21,IS808:ISMB 200,active,,India,IS 808:2021,ISMB,ISMB 200,,200,100,5.7,10.8,11,5.5,14,25.4,current
0x74D15D8D6F,IS808:ISMB 225,active,,India,IS 808:2021,ISMB,ISMB 225,,225,110,6.5,11.8,12,6,14,31.2,current
0x7647EFC152,IS808:ISMB 250,active,,India,IS 808:2021,ISMB,ISMB 250,,250,125,6.9,12.5,13,6.5,14,37.3,current
